playerID,CAM,CB,CDM,CF,CM,GK,LB,LF,LM,LW,LWB,RB,RF,RM,RW,RWB,ST,SW
388,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
552,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0
560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
595,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
599,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
607,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
614,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
646,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
657,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
684,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
694,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
722,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
760,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0
766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0
853,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
889,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
953,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
965,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
1041,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0
1046,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1085,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0
1175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1210,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1229,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0
1235,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1289,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1323,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1393,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0
1479,0,4,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
1517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1518,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
1565,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
1611,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0
1637,1,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0
1647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1678,0,0,0,2,0,0,0,0,0,0,0,0,3,0,4,0,1,0
1731,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0
1737,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1747,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1860,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1880,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
1889,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0
2062,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0
2091,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2115,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2116,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2141,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2151,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
2152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2164,4,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0
2172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2235,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2264,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2392,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2492,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2506,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2518,0,0,0,0,0,0,2,0,3,4,1,0,0,0,0,0,0,0
2572,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2622,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2629,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2655,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2742,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2769,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2799,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2823,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
2837,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0
2956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3041,0,0,0,0,4,0,3,0,0,0,0,2,0,1,0,0,0,0
3078,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
3081,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3148,0,0,4,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0
3174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3189,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
3216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3246,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
3264,3,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
3281,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3337,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3363,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3395,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
3448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3492,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3563,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0
3622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3647,3,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
3654,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3665,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3721,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3772,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3790,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3801,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3813,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3869,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3912,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4006,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0
4077,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4083,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
4086,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
4098,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4105,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
4110,0,3,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0
4111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4190,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
4202,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
4205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4238,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4246,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4323,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4353,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4381,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4421,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4459,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4498,0,0,2,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0
4505,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4514,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4633,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
4667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4695,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4724,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4731,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4732,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4769,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4806,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
4832,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4858,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4864,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4873,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5047,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0
5060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5099,0,0,0,0,0,0,2,0,4,0,0,1,0,3,0,0,0,0
5112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5203,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0
5208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5231,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5255,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5267,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5279,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5336,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5345,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5419,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5430,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5445,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5459,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5460,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5461,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5471,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5485,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5547,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
5550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5566,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
5589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5679,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5688,0,0,1,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0
5704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5721,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5738,1,0,0,4,0,0,0,0,0,3,0,0,0,0,2,0,0,0
5739,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5741,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5744,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5750,0,0,3,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0
5809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5818,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5819,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083,0,0,0,0,0,0,3,0,2,4,1,0,0,0,0,0,0,0
6122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6139,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6159,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6235,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6338,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
6398,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
6422,0,0,2,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0
6490,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6541,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6550,3,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0
6591,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6645,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,0,1,0
6647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6716,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6720,0,0,1,0,4,0,0,0,0,0,0,2,0,3,0,0,0,0
6747,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6775,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6803,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6826,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6862,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6908,2,0,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
6971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6975,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,3,0
7080,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7142,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
7264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7274,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7280,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7306,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
7384,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7391,0,1,2,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0
7434,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7512,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7514,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7517,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7558,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0
7584,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7597,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7610,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
7612,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7656,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
